"Site_id","Longitude","Latitude","veg_year","Marsh_Class","Basin"
"CRMS0002",-89.79173,30.10025,2017,"Brackish","Pontchartrain"
"CRMS0003",-89.25275,30.09937,2017,"Saline","Pontchartrain"
"CRMS0006",-89.97923,30.25993,2017,"Brackish","Pontchartrain"
"CRMS0008",-90.68443,30.23072,2017,"Swamp","Pontchartrain"
"CRMS0030",-90.32942,30.30482,2017,"Fresh","Pontchartrain"
"CRMS0033",-90.3855,30.27445,2017,"Intermediate","Pontchartrain"
"CRMS0034",-90.3855,30.30348,2017,"Intermediate","Pontchartrain"
"CRMS0035",-89.66476,30.26712,2017,"Swamp","Pontchartrain"
"CRMS0038",-90.6817,30.21616,2017,"Swamp","Pontchartrain"
"CRMS0039",-90.68731,30.10738,2017,"Swamp","Pontchartrain"
"CRMS0046",-90.49934,30.40488,2017,"Swamp","Pontchartrain"
"CRMS0047",-90.53371,30.13298,2017,"Swamp","Pontchartrain"
"CRMS0056",-90.44297,30.12919,2017,"Swamp","Pontchartrain"
"CRMS0058",-90.53726,30.16549,2017,"Swamp","Pontchartrain"
"CRMS0059",-90.53906,30.09295,2017,"Swamp","Pontchartrain"
"CRMS0061",-90.63992,30.22322,2017,"Swamp","Pontchartrain"
"CRMS0063",-90.64094,30.1321,2017,"Swamp","Pontchartrain"
"CRMS0065",-90.811,30.12192,2017,"Swamp","Pontchartrain"
"CRMS0086",-89.63324,30.31791,2017,"Swamp","Pontchartrain"
"CRMS0089",-90.58307,30.13183,2017,"Swamp","Pontchartrain"
"CRMS0090",-90.56128,30.15933,2017,"Swamp","Pontchartrain"
"CRMS0097",-90.65826,30.1582,2017,"Swamp","Pontchartrain"
"CRMS0103",-90.25928,30.3978,2017,"Swamp","Pontchartrain"
"CRMS0108",-89.41592,29.95506,2017,"Saline","Pontchartrain"
"CRMS0114",-89.91673,29.75912,2017,"Intermediate","Breton Sound"
"CRMS0115",-89.91673,29.78089,2017,"Intermediate","Breton Sound"
"CRMS0117",-89.91673,29.80992,2017,"Fresh","Breton Sound"
"CRMS0118",-89.54172,29.37444,2017,"Fresh","Breton Sound"
"CRMS0119",-89.63548,29.47605,2017,"Brackish","Breton Sound"
"CRMS0120",-89.85423,29.84622,2017,"Fresh","Breton Sound"
"CRMS0121",-89.82298,29.69379,2017,"Brackish","Breton Sound"
"CRMS0125",-89.97923,29.76637,2017,"Intermediate","Breton Sound"
"CRMS0128",-89.94798,29.8317,2017,"Fresh","Breton Sound"
"CRMS0129",-89.60422,29.46879,2017,"Saline","Breton Sound"
"CRMS0131",-89.88552,29.69252,2017,"Intermediate","Breton Sound"
"CRMS0132",-89.88548,29.66476,2017,"Intermediate","Breton Sound"
"CRMS0135",-89.76048,29.68654,2017,"Brackish","Breton Sound"
"CRMS0136",-89.79173,29.62122,2017,"Intermediate","Breton Sound"
"CRMS0139",-89.47922,29.3817,2017,"Fresh","Breton Sound"
"CRMS0146",-89.72923,29.73008,2017,"Brackish","Breton Sound"
